SPP,NAME,TANK,LEFT,RIGHT,NA,PROP,LI-TOT
P.lat,Beijing,A,172,109,15,0.612099644,-22.41992883
P.lat,Beijing,B,147,149,0,0.496622,0.675675676
P.lat,Camila,A,129,151,16,0.460714286,7.857142857
P.lat,Camila,B,136,158,2,0.462585,7.482993197
P.lat,Jessica,A,171,123,2,0.581632653,-16.32653061
P.lat,Jessica,B,104,182,10,0.363636,27.27272727
P.lat,London,A,157,128,11,0.550877193,-10.1754386
P.lat,London,B,119,167,10,0.41608,16.78321678
P.lat,Melissa,A,127,164,5,0.436426117,12.71477663
P.lat,Melissa,B,157,129,10,0.548951,-9.79020979
P.lat,Paris,A,130,153,13,0.459363958,8.127208481
P.lat,Paris,B,150,143,3,0.511945,-2.389078498
P.lat,Penny,A,116,170,10,0.405594406,18.88111888
P.lat,Penny,B,145,146,5,0.498281787,0.343642612
P.lat,Rachel,A,155,120,21,0.563636364,-12.72727273
P.lat,Rachel,B,156,129,11,0.547368421,-9.473684211
P.lat,Rebecca,A,128,160,8,0.444444444,11.11111111
P.lat,Rebecca,B,133,150,13,0.469964664,6.007067138
P.lat,Riley,A,182,108,6,0.627586207,-25.51724138
P.lat,Riley,B,171,118,7,0.591695502,-18.33910035
P.lat,Sophia,A,130,135,31,0.490566038,1.886792453
P.lat,Sophia,B,134,153,9,0.466898955,6.620209059
P.lat,Stella,A,134,155,7,0.46366782,7.266435986
P.lat,Stella,B,152,127,17,0.544802867,-8.960573477
P.lat,Zoey,A,150,112,34,0.572519084,-14.50381679
P.lat,Zoey,B,148,143,5,0.508591065,-1.718213058
P.lat,Cypress,A,121,174,1,0.410169492,17.96610169
P.lat,Cypress,B,130,148,18,0.467625899,6.474820144
P.lat,Evangeline,A,141,114,41,0.552941176,-10.58823529
P.lat,Evangeline,B,151,101,44,0.599206349,-19.84126984
P.lat,Rumi,A,138,103,55,0.572614108,-14.52282158
P.lat,Rumi,B,236,53,7,0.816608997,-63.32179931
P.lat,Willow,A,113,181,2,0.384353741,23.1292517
P.lat,Willow,B,180,107,9,0.6271777,-25.43554007
P.lat,Elena,A,125,153,18,0.449640288,10.07194245
P.lat,Elena,B,149,136,11,0.522807018,-4.561403509
P.lat,Brielle,A,152,138,6,0.524137931,-4.827586207
P.lat,Brielle,B,164,121,11,0.575438596,-15.0877193
P.lat,Amara,A,115,134,47,0.46184739,7.630522088
P.lat,Amara,B,107,150,39,0.416342412,16.73151751
P.lat,Harvy,A,171,96,29,0.640449438,-28.08988764
P.lat,Harvy,B,121,129,46,0.484,3.2
P.lat,Ursula,A,140,130,25,0.518518519,-3.703703704
P.lat,Ursula,B,112,119,65,0.484848485,3.03030303
P.lat,Nessie,A,129,145,22,0.47080292,5.839416058
P.lat,Nessie,B,159,103,34,0.606870229,-21.3740458
P.lat,Willa,A,116,148,32,0.439393939,12.12121212
P.lat,Willa,B,124,136,36,0.476923077,4.615384615
P.lat,Millie,A,155,125,16,0.553571429,-10.71428571
P.lat,Millie,B,125,163,8,0.434027778,13.19444444
P.form,Kai,A,135,122,39,0.525291829,-5.058365759
P.form,Kai,B,126,133,37,0.486486486,2.702702703
P.form,Maeve,A,129,153,14,0.457446809,8.510638298
P.form,Maeve,B,108,140,48,0.435483871,12.90322581
P.form,Cayenne,A,132,153,11,0.463157895,7.368421053
P.form,Cayenne,B,95,191,10,0.332167832,33.56643357
P.form,Freya,A,157,124,15,0.558718861,-11.74377224
P.form,Freya,B,131,158,7,0.453287197,9.342560554
P.form,Ana,A,132,150,14,0.468085106,6.382978723
P.form,Ana,B,150,137,9,0.522648084,-4.529616725
P.form,Ashley,A,172,112,12,0.605633803,-21.12676056
P.form,Ashley,B,147,128,21,0.534545455,-6.909090909
P.form,Ava,A,144,133,19,0.519855596,-3.971119134
P.form,Ava,B,160,119,17,0.573476703,-14.6953405
P.form,Chloe,A,152,139,5,0.52233677,-4.467353952
P.form,Chloe,B,138,154,4,0.47260274,5.479452055
P.form,Dory,A,142,139,15,0.505338078,-1.067615658
P.form,Dory,B,144,137,15,0.512455516,-2.491103203
P.form,Emmy,A,140,141,15,0.498220641,0.355871886
P.form,Emmy,B,148,131,17,0.53046595,-6.093189964
P.form,Gretchen,A,5,291,0,0.016891892,96.62162162
P.form,Gretchen,B,145,144,7,0.501730104,-0.346020761
P.form,Layla,A,134,151,11,0.470175439,5.964912281
P.form,Layla,B,143,146,7,0.494809689,1.038062284
P.form,Lily,A,142,148,6,0.489655172,2.068965517
P.form,Lily,B,144,147,5,0.494845361,1.030927835
P.form,Makayla,A,147,146,3,0.501706485,-0.341296928
P.form,Makayla,B,177,113,6,0.610344828,-22.06896552
P.form,Megan,A,128,162,6,0.44137931,11.72413793
P.form,Megan,B,163,126,7,0.564013841,-12.80276817
P.form,Olivia,A,135,151,10,0.472027972,5.594405594
P.form,Olivia,B,153,126,17,0.548387097,-9.677419355
P.form,Rosy,A,183,100,13,0.64664311,-29.32862191
P.form,Rosy,B,138,133,25,0.509225092,-1.84501845
P.form,Skylar,A,142,143,11,0.498245614,0.350877193
P.form,Skylar,B,139,128,29,0.520599251,-4.119850187
P.form,Sofia,A,109,182,5,0.374570447,25.08591065
P.form,Sofia,B,139,151,6,0.479310345,4.137931034
P.form,Tory,A,150,144,2,0.510204082,-2.040816327
P.form,Tory,B,148,136,12,0.521126761,-4.225352113
P.form,Kona,A,142,126,28,0.529850746,-5.970149254
P.form,Kona,B,139,132,25,0.512915129,-2.58302583
P.form,Luna,A,126,157,13,0.445229682,10.9540636
P.form,Luna,B,124,154,18,0.446043165,10.79136691
P.form,Muses,A,171,117,8,0.59375,-18.75
P.form,Muses,B,114,171,10,0.4,20
P.form,Nyx,A,108,175,13,0.381625442,23.67491166
P.form,Nyx,B,132,147,17,0.47311828,5.376344086
P.form,Azami,A,120,170,6,0.413793103,17.24137931
P.form,Azami,B,183,100,13,0.64664311,-29.32862191
P.form,Asha,A,148,134,14,0.524822695,-4.964539007
P.form,Asha,B,158,131,7,0.546712803,-9.342560554
P.form,Kendra,A,142,142,12,0.5,0
P.form,Kendra,B,176,107,13,0.621908127,-24.38162544
